project,cve,vul_id,status,elapsed_seconds,num_patches_evaluated,num_repairs_found,patch_found,prompt_tokens,completion_tokens,total_tokens,cost_usd,message
binutils,CVE-2017-14745,CVE-2017-14745,no_patch,8897,10,0,false,107748,22696,130444,0.2212,"LLM repair-quality: correctly localized the crash but generated a NULL-pointer guard instead of the required array-bounds check; 10 candidates evaluated, all the same wrong pattern"
binutils,CVE-2017-15025,CVE-2017-15025,no_patch,446,NA,NA,false,0,0,0,0.0,OOM: KLEE taint analysis exceeds available memory even in full isolation on a 15GB box (hardware-limited)
binutils,CVE-2017-6965,CVE-2017-6965,no_patch,42,NA,NA,false,0,0,0,0.0,"Benchmark/PoV fidelity: packaged PoV does not crash the built binary (confirmed on repeat runs, deterministic)"
coreutils,gnubug-19784,gnubug-19784,patched,54,1,1,true,9569,3450,13019,0.0268,
coreutils,gnubug-25023,gnubug-25023,patched,179,1,1,true,34938,11272,46210,0.0913,
jasper,CVE-2016-8691,CVE-2016-8691,patched,386,1,1,true,89259,36807,126066,0.2733,
jasper,CVE-2016-9557,CVE-2016-9557,patched,527,1,1,true,88889,48244,137133,0.3301,
jasper,CVE-2020-27828,REDTEAM-CVE-2020-27828,no_patch,135,NA,NA,false,0,0,0,0.0,LoopRepair internal bug: AssertionError on a missing compile_commands.json; localization succeeded but patch generation crashed before ever calling the LLM
jasper,CVE-2021-3272,REDTEAM-CVE-2021-3272,no_patch,8,NA,NA,false,0,0,0,0.0,"Broken scenario packaging: ships bug.analysis.json/bug.repair.json instead of bug.json; after aliasing bug.repair.json->bug.json the build itself still fails because its prebuild command is a no-op (""exit 0"") that never runs the required cmake configure step -- unfixable without also patching the build config"
libarchive,CVE-2016-5844,CVE-2016-5844,patched,830,1,1,true,36281,19400,55681,0.1333,
libjpeg,CVE-2012-2806,CVE-2012-2806,patched,195,1,1,true,35435,15856,51291,0.1147,
libjpeg,CVE-2017-15232,CVE-2017-15232,no_patch,15161,5,0,false,74889,27288,102177,0.2113,"LLM repair-quality: 5 candidates evaluated across iterations, all wrong"
libming,CVE-2016-9264,CVE-2016-9264,patched,1151,20,1,true,301101,158129,459230,1.0917,
libming,CVE-2018-8806,CVE-2018-8806,no_patch,3116,5,0,false,86579,44973,131552,0.3114,LLM repair-quality: added a malloc() NULL-check instead of the required constant-pool bounds-check; all 5 candidates failed identically
libming,CVE-2018-8964,CVE-2018-8964,no_patch,1901,5,0,false,68953,29472,98425,0.2163,LLM repair-quality: same root cause as CVE-2018-8806 (same vulnerable code family in decompile.c)
